Player_Name,Team,Position,Age,Season,FIFA_Rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Month,Injury_Year,avg_rating_before,avg_rating_after,rating_change,team_gd_before,team_gd_missed,performance_drop_index
Matt Ritchie,Newcastle,Right Midfielder,30,2019/20,76,Ankle injury,2019-08-28,2020-01-03,lose,Arsenal,1.0,6.0,lose,Norwich City,-2.0,7.0,win,Tottenham,1.0,6.9,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,win,Chelsea,1.0,6.4,draw,Everton,0.0,6.0,draw,Norwich City,0.0,7.4,August,2019.0,6.633333333333333,6.6000000000000005,-0.03333333333333233,0.0,-0.6666666666666666,0.6666666666666666
Allan Saint-Maximin,Newcastle,Left winger,23,2019/20,79,Hamstring strain,2019-09-22,2019-09-28,lose,Arsenal,-1.0,6.5,N.A.,N.A.,,,N.A.,N.A.,,,lose,Norwich City,-2.0,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,6.6,win,Man United,1.0,5.8,lose,Chelsea,-1.0,5.9,September,2019.0,6.5,6.099999999999999,-0.40000000000000124,-1.0,-1.3333333333333333,0.33333333333333326
Miguel Almirón,Newcastle,Right winger,26,2019/20,76,Hamstring injury,2019-12-09,2019-12-20,draw,Man City,0.0,6.8,win,Sheffield,2.0,6.1,win,Southampton,1.0,6.2,lose,Burnley,-1.0,N.A.,N.A.,,N.A.,N.A.,,win,Crystal Palace,1.0,8.6,lose,Man United,-3.0,5.9,lose,Everton,-1.0,5.7,December,2019.0,6.366666666666666,6.733333333333333,0.36666666666666714,1.0,-1.0,2.0
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Calf injury,2019-08-08,2019-10-05,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,lose,Arsenal,-1.0,lose,Norwich City,-2.0,win,Tottenham,1.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,August,2019.0,,,,,-0.6666666666666666,
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Hamstring strain,2020-01-02,2020-01-10,lose,Man United,-3.0,5.8,lose,Everton,-1.0,5.7,draw,Wolves,0.0,6.3,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,lose,Crystal Palace,-1.0,5.5,draw,Burnley,0.0,5.6,win,Southampton,1.0,5.9,January,2020.0,5.933333333333334,5.666666666666667,-0.2666666666666666,-1.3333333333333333,0.3333333333333333,-1.6666666666666665
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Groin injury,2019-10-20,2019-11-01,lose,Leicester,-5.0,6.0,win,Man United,1.0,5.7,lose,Chelsea,-1.0,5.7,draw,Wolves,0.0,N.A.,N.A.,,N.A.,N.A.,,N.A.,N.A.,,,N.A.,N.A.,,,lose,Aston Villa,-2.0,6.3,October,2019.0,5.8,6.3,0.5,-1.6666666666666667,0.0,-1.6666666666666667
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Bruised ribs,2019-11-26,2019-12-03,N.A.,N.A.,,,N.A.,N.A.,,,lose,Aston Villa,-2.0,6.3,draw,Man City,0.0,N.A.,N.A.,,N.A.,N.A.,,win,Sheffield,2.0,6.8,win,Southampton,1.0,6.7,lose,Burnley,-1.0,5.8,November,2019.0,6.3,6.433333333333334,0.13333333333333375,-2.0,0.0,-2.0
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Knock,2020-01-15,2020-06-15,N.A.,N.A.,,,N.A.,N.A.,,,draw,Wolves,0.0,5.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,win,Sheffield,3.0,5.0,draw,Aston Villa,0.0,6.4,win,Bournemouth,3.0,6.4,January,2020.0,5.0,5.933333333333334,0.9333333333333336,0.0,0.3333333333333333,-0.3333333333333333
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Muscle injury,2020-07-06,2020-07-17,draw,Aston Villa,0.0,6.4,win,Bournemouth,3.0,6.4,N.A.,N.A.,,,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,draw,Brighton,0.0,5.7,lose,Liverpool,-2.0,5.1,N.A.,N.A.,,,July,2020.0,6.4,5.4,-1.0,1.5,-2.6666666666666665,4.166666666666666
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hip injury,2020-09-28,2020-10-16,win,West Ham,2.0,6.6,lose,Brighton,-3.0,5.6,draw,Tottenham,0.0,6.3,win,Burnley,2.0,N.A.,N.A.,,N.A.,N.A.,,lose,Man United,3.0,5.3,draw,Wolves,0.0,6.4,win,Everton,1.0,6.4,September,2020.0,6.166666666666667,6.033333333333334,-0.13333333333333286,-0.3333333333333333,2.0,-2.3333333333333335
